"m_id","temperature","humidity","m_name","winddirection","windspeed","m_date","lat","lot"
"313",,,"WT2","0","2.3","2023-04-11 10:45:14","35.456997","129.328217"
"314",,,"WT3","260.59","2.07","2023-04-11 10:45:14","35.456944","129.326667"
"315",,,"WT4","220.5","2.6","2023-04-11 10:45:14","35.455063","129.327988"
"316",,,"WT5","218.39","3.3","2023-04-11 10:45:14","35.45512","129.330215"
"317",,,"WT6","264.51","2.53","2023-04-11 10:45:14","35.455124","129.330612"
"318",,,"WT7","192.9","2.3","2023-04-11 10:45:14","35.455727","129.329498"
"319",,,"WT8","276.73","1.72","2023-04-11 10:45:14","35.456108","129.3302"
"320",,,"WT1","290.76","3.08","2023-04-11 10:44:08","35.456703","129.328354"
"321",,,"WT2","28.75","1.88","2023-04-11 10:44:08","35.456997","129.328217"
"322",,,"WT3","280.32","2.27","2023-04-11 10:44:08","35.456944","129.326667"
"323",,,"WT4","307.5","1.5","2023-04-11 10:44:08","35.455063","129.327988"
"324",,,"WT5","224.63","2.33","2023-04-11 10:44:08","35.45512","129.330215"
"325",,,"WT6","282.5","1.68","2023-04-11 10:44:08","35.455124","129.330612"
"326",,,"WT7","202.98","2.58","2023-04-11 10:44:08","35.455727","129.329498"
"327",,,"WT8","279","3","2023-04-11 10:44:08","35.456108","129.3302"
"328",,,"WT1","301.88","3.65","2023-04-11 10:43:02","35.456703","129.328354"
"329",,,"WT2","68.18","1.13","2023-04-11 10:43:02","35.456997","129.328217"
"330",,,"WT3","233.94","2.55","2023-04-11 10:43:02","35.456944","129.326667"
"331",,,"WT4","243.24","5.05","2023-04-11 10:43:02","35.455063","129.327988"
"332",,,"WT5","207.74","4.5","2023-04-11 10:43:02","35.45512","129.330215"
"333",,,"WT6","265.05","3.58","2023-04-11 10:43:02","35.455124","129.330612"
